IMG_1566,[17, 20, 22, 22, 23],[(125, 98, 63), (223, 169, 107), (55, 34, 20), (238, 204, 165), (184, 130, 79)]
IMG_1531,[31, 33, 37, 85, 85],[(162, 156, 138), (32, 37, 32), (135, 130, 112), (96, 94, 79), (221, 222, 221)]
IMG_1248,[13, 15, 16, 17, 20],[(178, 134, 110), (229, 200, 173), (149, 94, 60), (84, 46, 28), (204, 164, 135)]
IMG_1618,[9, 11, 13, 28, 240],[(96, 62, 50), (23, 14, 17), (180, 179, 177), (161, 104, 78), (56, 35, 29)]
IMG_1527,[24, 42, 148, 148, 233],[(219, 219, 217), (180, 182, 184), (88, 86, 87), (136, 192, 249), (150, 147, 143)]
IMG_1357,[0, 20, 85, 106, 191],[(249, 249, 249), (24, 23, 25), (104, 94, 85), (163, 167, 163), (220, 224, 222)]
IMG_1343,[27, 30, 33, 58, 149],[(230, 233, 225), (74, 142, 214), (177, 158, 112), (43, 38, 29), (104, 98, 77)]
IMG_1120,[7, 12, 13, 14, 16],[(132, 88, 68), (86, 56, 44), (191, 136, 102), (234, 206, 191), (41, 27, 24)]
IMG_1394,[0, 0, 0, 0, 0],[(110, 110, 110), (235, 235, 235), (58, 58, 58), (17, 17, 17), (164, 164, 164)]
IMG_1209,[14, 24, 127, 145, 148],[(232, 236, 239), (120, 121, 122), (184, 188, 188), (28, 26, 25), (80, 75, 68)]
IMG_1380,[116, 118, 124, 142, 148],[(83, 94, 100), (179, 188, 186), (231, 235, 234), (129, 143, 142), (44, 49, 54)]
IMG_1659,[8, 14, 17, 212, 245],[(177, 150, 136), (57, 40, 44), (223, 212, 204), (120, 92, 85), (14, 7, 14)]
IMG_1384,[4, 9, 9, 36, 245],[(48, 39, 41), (137, 114, 107), (24, 17, 15), (181, 179, 166), (97, 66, 62)]
IMG_1390,[21, 24, 26, 26, 212],[(152, 146, 136), (29, 28, 29), (56, 50, 44), (77, 72, 65), (102, 99, 94)]
IMG_1208,[6, 9, 9, 16, 22],[(72, 33, 22), (215, 188, 158), (169, 121, 92), (33, 10, 6), (134, 62, 41)]
IMG_1658,[10, 18, 19, 182, 252],[(124, 100, 92), (183, 161, 143), (25, 22, 32), (234, 222, 213), (70, 53, 54)]
IMG_1421,[22, 26, 27, 29, 35],[(49, 39, 28), (246, 241, 214), (135, 116, 85), (213, 199, 174), (229, 219, 196)]
IMG_1347,[14, 16, 22, 24, 25],[(68, 37, 21), (192, 180, 167), (166, 142, 107), (108, 55, 22), (117, 100, 76)]
IMG_1353,[4, 7, 8, 10, 250],[(134, 103, 106), (17, 11, 9), (97, 67, 59), (190, 164, 158), (67, 35, 31)]
IMG_1571,[0, 6, 6, 226, 244],[(64, 46, 43), (100, 89, 87), (166, 157, 163), (251, 250, 250), (15, 11, 12)]
IMG_1409,[12, 17, 23, 28, 206],[(30, 25, 15), (171, 144, 125), (111, 90, 81), (203, 197, 204), (72, 58, 41)]
IMG_1121,[25, 145, 208, 233, 248],[(118, 108, 119), (59, 39, 42), (227, 212, 190), (162, 169, 174), (95, 83, 89)]
IMG_1526,[17, 170, 187, 191, 194],[(223, 223, 226), (182, 178, 185), (14, 12, 17), (112, 107, 117), (147, 101, 68)]
IMG_1249,[4, 18, 21, 24, 134],[(214, 163, 113), (37, 19, 17), (235, 204, 162), (147, 99, 63), (90, 185, 204)]
IMG_1619,[0, 177, 204, 226, 246],[(98, 89, 100), (85, 6, 5), (41, 39, 50), (172, 157, 160), (14, 11, 13)]
IMG_1530,[10, 18, 25, 162, 233],[(32, 30, 27), (120, 114, 112), (96, 94, 95), (69, 64, 60), (184, 186, 196)]
IMG_1596,[6, 12, 13, 15, 22],[(30, 24, 23), (210, 204, 197), (93, 62, 48), (57, 40, 33), (150, 126, 112)]
IMG_1555,[4, 22, 23, 29, 154],[(138, 104, 66), (178, 146, 106), (95, 118, 158), (56, 48, 47), (223, 207, 172)]
IMG_1233,[0, 42, 127, 132, 141],[(63, 142, 153), (240, 240, 239), (249, 249, 249), (41, 42, 42), (225, 227, 228)]
